donation_id,img_src,item,donor_id,dedi_id,inscription,lat,lon,icon,state_champ,arbor_note
0,,Wildflower Meadow,Class of 1966,Mary E. Daubenspeck '66,,40.025603,-75.312917,object,no,
1,LC_01.png,Stone Gates,,,"Gates given in honor of Anne Leigh Hobson Broughton '30, MA '36<br>Director of Admissions 1943-1965",40.024166,-75.313455,object,no,
2,,Shillingford Field,BMC,,"Shillingford Field <br> Named in honor of Jenepher P. Shillingford for her contributions as field hockey coach and director of athletics and physical education for more than 20 years <br> October 25, 1998",40.028535,-75.315949,object,no,
3,LC_03.png,Shale-Limestone Block,,,"Florence Bascom, PhD, Geology",40.030151,-75.315949,object,no,
4,,Sculpture,,,,40.026886,-75.315027,object,no,
5,LC_05.png,Renovation of Sunken Garden,Class of 1996,,,40.024677,-75.314063,object,no,
6,LC_06.png,Nancy Vickers Pond,,,,40.027586,-75.316629,object,no,
7,LC_07.png,Owl Statue,Jacqueline Badger Mars '61,,Mezza Luna <br>Diana - Reuter - Twining <br> Gift Jacqueline Badger Mars 1961,40.027224,-75.315325,object,no,
8,LC_08.png,Moon Bench,Moon family cemetary plot,,,40.029288,-75.31494,object,no,1278
9,,McPherson Garden,The Staff Association,,Given by the Staff Association in honor of President Mary Patterson McPherson 1997,0,0,object,no,
10,,Lion Pillars,,,McBride Gateway <br> In Memory of Katharine Elizabeth McBride<br> President of Bryn Mawr College 1942-1970,40.026537,-75.31284,object,no,
11,,Sculpture,"Annick M. Doeff, PhD '77",,"In Memoriam<br>Henriette Elisabeth Rollett nee Kleinsmeide Born 2-19-38, Sumatra, Indonesia <br> Interned 1942-45 During World War II on Java, Indonesia Died accidentally 8-6-1986 in Oisly, France together with her husband",40.029389,-75.314707,object,no,
12,LC_12.png,Fountain,Susan Alexander '78,,"This fountain celebrates alumna and mother Joan S. Alexander's passion for water, thirst for knowledge, and love of family",40.027317,-75.31509,object,no,
13,LC_13.png,Large Rock,,One Century of Bryn Mawr Geology 1895-1995,,40.030228,-75.31496,object,no,
14,,Island,,,For James and Grace,40.025929,-75.315441,object,no,
15,LC_15.png,"Garden, Bench, and Rock",Class of 1962,,"Poetry Nook in Memory of Jane Hess Flanders, Class of 1962 <br> Poet Musician and Gardener",40.026922,-75.313604,object,no,1268
16,LC_16.png,Garden and Built-In Bench on Concrete,Class of 1934,,"In Memory of Katharine Gribbel Carter, Class of 1934",40.027065,-75.312746,object,no,1270
17,,Garden and Bench,Class of 1987,,Catherine Martha Pugin,0,0,object,no,
18,LC_18.png,Cloisters Fountain,Class of 1901,,,40.026853,-75.314202,object,no,
19,LC_19.png,Garden and Bench,Charlotte Drabkin Garrell '54 and Elizabeth Garrell Bacon '92,Minnie Masion Drabkin,Minnie Masion Drabkin Bench,40.028846,-75.313738,object,no,1276
20,LC_20.png,Concrete Bench,Class of 1897,,"In Memoriam Elsie Campbell Sinclair Hodge, AB 1897 <br> Born Dec 15, 1874  Died in the Massacre of Christians at Paotingfu, China, June 1900",40.027588,-75.312281,object,no,1272
21,LC_21.png,Permanent Bench,Sally and Frank Mallory,,"Julie E. Painter, AB 1959 / (1938-2004)",40.028352,-75.315414,object,no,1287
22,LC_22.png,Permanent Bench,Class of 1964,Class of 1964 40th Reunion,,40.028884,-75.316277,object,no,1297
23,LC_23.png,Permanent Bench,,,"For Thelma F. Shtasel, PhD '68 on Her 80th Birthday <br> ""Immortality lies not in the things you leave behind, but in the people your life has touched."" With Love From Her Children and Their Families 4/20/04",40.029164,-75.315052,object,no,1285
24,LC_24.png,Permanent bench,,,In Loving Memory of Gayle Furtney Class of 1976,40.028924,-75.315115,object,no,1286
25,,Permanent Bench,Class of 1980,Class of 1980,,0,0,object,no,
26,LC_26.png,Permanent Bench,,,In honor of Professor Machteld J. Mellink,40.028353,-75.31539,object,no,1289
27,LC_27.png,Moveable Bench,Class of 1926,,"In Loving Memory of Alice Long Goldsmith, Class of 1926",40.028478,-75.315368,object,no,1288
28,LC_28.png,Moveable Bench,,Alice Long Goldsmith '26,,40.028935,-75.318001,object,no,1295
29,LC_29.png,Moveable Bench,Manning Award,,Anne Leigh Hobson Broughton '30,40.027384,-75.313869,object,no,1245
30,,Moveable Bench,Manning Award,,Clarissa Wardwell Pell '30,0,0,object,no,
31,,Moveable Bench,Manning Award,,"In Honor of Ellen Fernon Reisner, MA '33 <br> Helen Taft Manning Award 1988",0,0,object,no,
32,LC_32.png,Moveable Bench,Manning Award,,In Honor of Professor Mabel L. Lang <br> Helen Taft Manning Award 1988,40.027174,-75.315193,object,no,1239
33,LC_33.png,Moveable Bench,"Clelia Wood Mallory '59, PhD '63",,"Gift of Clelia Wood Mallory '59, PhD '63  in honor of  Edith H. Lanman, 1892-1992 <br> whose 43 years of devoted teaching inspired generations of chemistry students",40.029847,-75.315147,object,no,1280
34,LC_34.png,Moveable Bench,Class of 1960,,Presented in May 2010 by the Class of 1960 on the occasion of our 50th reunion <br> In memory of our classmates who have died since we last met under this Arbor in 2005,40.024892,-75.313861,object,no,1262
35,LC_35.png,Moveable Bench,Class of 1960,,Presented by the Class of 1960 on the occasion of our 40th Reunion,40.024834,-75.313823,object,no,1259
36,LC_36.png,Moveable Bench,Manning Award,,The Helen Taft Manning Award 2000 given to Barbara Janney Trimble '60 in recognition of her outstanding service to Bryn Mawr College,40.024824,-75.31388,object,no,1261
37,LC_37.png,Moveable Bench,Class of 1961, 40th Reunion,In Remembrance of Departed Classmates and in Celebration of Their Lives,40.024427,-75.313537,object,no,1265
38,LC_38.png,Moveable Bench,Manning Award,,Barbara Bauman Morrison '62 <br> Helen Taft Manning Award 2015,40.02609,-75.314139,object,no,1248
39,LC_39.png,Moveable Bench,,,In honor of Filiz Eda Burhan '72 <br> Respected scholar and beloved teacher,40.027113,-75.315109,object,no,1117
